MCCCD,MemberCardNumber,CreatedDate,SupportEmp,MemberCardRank,MemberCardPoints,MemberCardAcquiredRankDate
0000005826,MC19869,2018-02-09 00:00:00,01767,GOLD,7,2018-08-11 00:00:00
0000005828,MC73575,2022-02-25 00:00:00,00821,MEMBER,85,2022-10-16 00:00:00
0000005829,MC84868,2022-03-08 00:00:00,03576,GOLD,68,2022-10-11 00:00:00
0000005830,MC63588,2023-12-28 00:00:00,00313,MEMBER,88,2024-06-04 00:00:00
0000005831,MC85074,2016-05-22 00:00:00,04764,SILVER,46,2016-11-20 00:00:00
0000005834,MC69827,2016-08-24 00:00:00,03447,MEMBER,56,2017-01-07 00:00:00
0000005840,MC98378,2023-02-21 00:00:00,02833,MEMBER,85,2023-04-30 00:00:00
0000005841,MC18691,2020-12-17 00:00:00,01014,GOLD,18,2021-11-16 00:00:00
0000005842,MC19256,2022-04-04 00:00:00,02194,SILVER,0,2023-01-15 00:00:00
0000005843,MC24377,2017-02-01 00:00:00,01146,SILVER,12,2017-08-19 00:00:00
0000005845,MC27754,2018-05-01 00:00:00,01824,GOLD,36,2018-08-02 00:00:00
0000005846,MC89514,2018-09-07 00:00:00,02986,GOLD,9,2019-04-23 00:00:00
0000005847,MC86299,2020-05-10 00:00:00,01429,MEMBER,73,2020-09-26 00:00:00
0000005850,MC41205,2017-02-23 00:00:00,04911,SILVER,72,2017-12-26 00:00:00
0000005851,MC41819,2023-12-08 00:00:00,01190,GOLD,12,2024-04-03 00:00:00
0000005852,MC78059,2023-09-26 00:00:00,01184,SILVER,31,2024-07-23 00:00:00
0000005854,MC20284,2015-10-10 00:00:00,00233,GOLD,63,2016-06-19 00:00:00
0000005855,MC64851,2017-12-08 00:00:00,01348,MEMBER,56,2018-10-19 00:00:00
0000005857,MC21629,2015-05-30 00:00:00,02766,MEMBER,14,2016-05-20 00:00:00
0000005859,MC65753,2019-12-29 00:00:00,01351,SILVER,60,2020-02-04 00:00:00
0000005860,MC38760,2016-03-20 00:00:00,00658,GOLD,64,2016-11-24 00:00:00
0000005863,MC30507,2019-09-04 00:00:00,01958,GOLD,39,2020-04-17 00:00:00
0000005865,MC53579,2019-03-25 00:00:00,04220,GOLD,36,2019-06-17 00:00:00
0000005866,MC38675,2020-07-22 00:00:00,01958,GOLD,58,2021-06-16 00:00:00
0000005870,MC44260,2024-01-01 00:00:00,00310,GOLD,38,2024-09-29 00:00:00
0000005871,MC43392,2021-03-13 00:00:00,03397,SILVER,10,2021-07-15 00:00:00
0000005872,MC78829,2019-09-06 00:00:00,04665,SILVER,8,2019-10-29 00:00:00
0000005873,MC83963,2015-03-30 00:00:00,03813,GOLD,100,2015-07-12 00:00:00
0000005874,MC50410,2016-11-17 00:00:00,00455,GOLD,89,2017-06-27 00:00:00
0000005875,MC54601,2019-06-19 00:00:00,01403,GOLD,72,2019-12-07 00:00:00
0000005879,MC96325,2021-10-02 00:00:00,03936,MEMBER,9,2021-12-09 00:00:00
0000005884,MC90855,2023-02-22 00:00:00,01600,SILVER,12,2023-12-08 00:00:00
0000005887,MC77762,2016-07-25 00:00:00,04293,MEMBER,25,2016-09-02 00:00:00
0000005888,MC11098,2017-10-15 00:00:00,02443,GOLD,84,2017-12-23 00:00:00
0000005889,MC72545,2018-06-18 00:00:00,02450,GOLD,85,2018-09-15 00:00:00
0000005890,MC71598,2020-11-03 00:00:00,00674,GOLD,11,2020-12-07 00:00:00
0000005891,MC90796,2018-11-05 00:00:00,04671,SILVER,84,2019-01-16 00:00:00
0000005894,MC71840,2018-03-05 00:00:00,01519,SILVER,47,2018-11-19 00:00:00
0000005896,MC88862,2017-07-11 00:00:00,02253,MEMBER,29,2017-09-19 00:00:00
0000005898,MC65578,2021-10-25 00:00:00,00330,GOLD,35,2022-06-19 00:00:00
0000005900,MC24240,2016-07-11 00:00:00,01201,MEMBER,34,2016-11-21 00:00:00
0000005901,MC87438,2019-02-25 00:00:00,03823,MEMBER,4,2019-05-19 00:00:00
0000005904,MC61833,2018-01-11 00:00:00,03430,MEMBER,30,2018-11-02 00:00:00
0000005908,MC22705,2020-07-28 00:00:00,04727,GOLD,64,2020-11-10 00:00:00
0000005909,MC61543,2016-09-10 00:00:00,03303,SILVER,62,2016-11-19 00:00:00
0000005911,MC56218,2018-03-26 00:00:00,00888,MEMBER,96,2018-07-13 00:00:00
0000005912,MC39469,2016-07-24 00:00:00,00102,MEMBER,69,2017-03-05 00:00:00
0000005913,MC72201,2022-06-10 00:00:00,02216,GOLD,77,2023-02-23 00:00:00
0000005917,MC13647,2018-03-10 00:00:00,03166,GOLD,84,2018-12-08 00:00:00
0000005918,MC20261,2017-05-23 00:00:00,00643,MEMBER,4,2018-03-02 00:00:00
0000005919,MC54384,2017-05-23 00:00:00,01508,MEMBER,26,2017-09-16 00:00:00
0000005922,MC92116,2018-01-16 00:00:00,04603,SILVER,69,2018-03-06 00:00:00
0000005925,MC69416,2020-12-18 00:00:00,00318,SILVER,7,2021-07-24 00:00:00
0000005926,MC32362,2015-08-20 00:00:00,02346,MEMBER,46,2016-05-14 00:00:00
0000005928,MC83768,2017-03-03 00:00:00,03344,MEMBER,45,2017-10-17 00:00:00
0000005929,MC26346,2023-10-19 00:00:00,02707,SILVER,91,2024-08-10 00:00:00
0000005931,MC22877,2021-04-03 00:00:00,02793,SILVER,90,2021-05-23 00:00:00
0000005934,MC17254,2016-04-13 00:00:00,02799,GOLD,14,2017-03-01 00:00:00
0000005935,MC55520,2020-05-31 00:00:00,01196,SILVER,68,2021-03-24 00:00:00
0000005939,MC48805,2019-10-19 00:00:00,01329,MEMBER,19,2020-07-14 00:00:00
0000005940,MC27408,2023-06-10 00:00:00,03106,GOLD,87,2023-09-11 00:00:00
0000005941,MC51832,2021-07-17 00:00:00,01288,MEMBER,33,2021-08-22 00:00:00
0000005942,MC60582,2018-06-03 00:00:00,04772,SILVER,100,2018-12-19 00:00:00
0000005944,MC25722,2023-11-17 00:00:00,01314,GOLD,15,2024-10-09 00:00:00
0000005946,MC41917,2019-12-20 00:00:00,01478,MEMBER,1,2020-10-25 00:00:00
0000005948,MC18947,2022-04-17 00:00:00,01055,SILVER,80,2022-07-16 00:00:00
0000005949,MC43370,2022-11-21 00:00:00,02730,GOLD,5,2023-07-20 00:00:00
0000005950,MC75244,2017-05-22 00:00:00,01089,SILVER,15,2018-02-15 00:00:00
0000005951,MC59418,2015-08-25 00:00:00,02233,GOLD,75,2016-05-21 00:00:00
0000005954,MC73550,2016-10-19 00:00:00,01880,GOLD,49,2017-03-21 00:00:00
0000005955,MC21810,2018-08-07 00:00:00,02801,SILVER,70,2019-05-06 00:00:00
0000005956,MC60658,2015-10-08 00:00:00,04264,SILVER,81,2016-05-13 00:00:00
0000005958,MC53047,2022-10-03 00:00:00,02901,GOLD,44,2023-05-20 00:00:00
0000005959,MC54592,2018-11-27 00:00:00,00848,SILVER,95,2019-06-21 00:00:00
0000005960,MC57702,2015-04-20 00:00:00,01552,SILVER,88,2016-03-07 00:00:00
0000005962,MC89824,2017-08-23 00:00:00,01408,MEMBER,72,2017-11-07 00:00:00
0000005963,MC23169,2017-05-20 00:00:00,03117,MEMBER,92,2018-03-20 00:00:00
0000005965,MC10734,2017-08-21 00:00:00,03774,GOLD,72,2018-08-09 00:00:00
0000005967,MC75805,2022-09-24 00:00:00,01816,MEMBER,96,2023-09-17 00:00:00
0000005968,MC74617,2023-01-21 00:00:00,00389,MEMBER,50,2023-07-20 00:00:00
0000005969,MC85977,2019-01-09 00:00:00,02576,GOLD,19,2019-02-13 00:00:00
0000005970,MC15495,2020-07-30 00:00:00,00270,MEMBER,62,2021-02-03 00:00:00
0000005973,MC68949,2015-10-04 00:00:00,04137,MEMBER,27,2016-08-15 00:00:00
0000005974,MC39207,2017-01-21 00:00:00,03378,SILVER,38,2017-04-07 00:00:00
0000005975,MC88486,2015-09-12 00:00:00,00629,MEMBER,71,2016-01-22 00:00:00
0000005977,MC92069,2015-02-09 00:00:00,01134,MEMBER,17,2015-09-13 00:00:00
0000005978,MC69333,2019-07-16 00:00:00,04191,GOLD,33,2020-02-21 00:00:00
0000005979,MC68593,2021-10-14 00:00:00,02102,MEMBER,44,2022-09-29 00:00:00
0000005980,MC13466,2021-07-08 00:00:00,02683,SILVER,45,2021-12-22 00:00:00
0000005983,MC49127,2020-01-11 00:00:00,00591,GOLD,88,2020-03-05 00:00:00
0000005985,MC58534,2017-05-30 00:00:00,01933,MEMBER,89,2018-01-24 00:00:00
0000005990,MC32524,2019-05-19 00:00:00,02686,GOLD,34,2019-08-14 00:00:00
0000005991,MC97482,2018-03-09 00:00:00,00657,MEMBER,37,2018-06-18 00:00:00
0000005992,MC74536,2015-01-18 00:00:00,02439,GOLD,74,2015-05-25 00:00:00
0000005993,MC95656,2021-03-22 00:00:00,02363,MEMBER,1,2021-08-11 00:00:00
0000005996,MC54897,2015-02-05 00:00:00,02537,MEMBER,8,2015-05-06 00:00:00
0000005998,MC82465,2016-09-14 00:00:00,03468,MEMBER,62,2017-09-09 00:00:00
0000006004,MC70320,2017-12-25 00:00:00,04253,SILVER,66,2018-04-12 00:00:00
0000006008,MC52027,2017-05-03 00:00:00,02370,SILVER,43,2017-06-16 00:00:00
0000006009,MC33054,2023-04-07 00:00:00,01311,SILVER,6,2023-05-17 00:00:00
0000006010,MC27443,2017-02-18 00:00:00,01205,MEMBER,9,2018-01-25 00:00:00
0000006011,MC12700,2021-07-21 00:00:00,04530,MEMBER,43,2021-11-08 00:00:00
0000006015,MC57630,2019-08-22 00:00:00,01008,GOLD,66,2019-10-14 00:00:00
0000006017,MC77875,2020-01-18 00:00:00,04189,SILVER,0,2020-04-26 00:00:00
0000006019,MC40316,2023-11-27 00:00:00,03380,MEMBER,64,2024-11-01 00:00:00
0000006020,MC38736,2017-07-19 00:00:00,02898,GOLD,79,2017-11-28 00:00:00
0000006021,MC77911,2021-06-22 00:00:00,04502,MEMBER,90,2021-09-16 00:00:00
0000006025,MC51312,2020-01-22 00:00:00,03164,GOLD,87,2020-04-10 00:00:00
0000006026,MC73593,2021-09-29 00:00:00,02721,MEMBER,6,2022-05-28 00:00:00
0000006028,MC35367,2018-09-26 00:00:00,02292,MEMBER,77,2019-06-14 00:00:00
0000006030,MC95976,2019-04-03 00:00:00,01467,MEMBER,6,2019-08-14 00:00:00
0000006031,MC82843,2023-11-14 00:00:00,03735,GOLD,88,2024-09-15 00:00:00
0000006033,MC90117,2020-10-15 00:00:00,00071,MEMBER,5,2021-08-14 00:00:00
0000006036,MC61247,2023-11-03 00:00:00,03536,GOLD,44,2024-03-07 00:00:00
0000006037,MC57472,2023-10-08 00:00:00,00407,MEMBER,88,2023-11-07 00:00:00
0000006039,MC97037,2020-09-22 00:00:00,01749,MEMBER,45,2020-10-26 00:00:00
0000006040,MC52787,2021-02-09 00:00:00,01537,GOLD,32,2021-08-22 00:00:00
0000006041,MC17156,2022-11-21 00:00:00,04609,SILVER,13,2023-04-26 00:00:00
0000006047,MC75357,2022-05-25 00:00:00,04263,GOLD,3,2022-10-03 00:00:00
0000006048,MC98637,2020-02-24 00:00:00,01332,GOLD,37,2020-07-19 00:00:00
0000006049,MC24383,2018-11-07 00:00:00,03304,SILVER,2,2019-03-18 00:00:00
0000006050,MC98424,2015-10-09 00:00:00,03695,MEMBER,12,2016-01-12 00:00:00
0000006051,MC25089,2018-04-08 00:00:00,00178,MEMBER,1,2018-09-15 00:00:00
0000006052,MC20312,2017-08-23 00:00:00,02083,SILVER,15,2018-08-02 00:00:00
0000006054,MC46795,2020-08-14 00:00:00,03658,GOLD,6,2021-02-07 00:00:00
0000006058,MC64258,2018-06-04 00:00:00,03358,MEMBER,41,2019-03-19 00:00:00
0000006063,MC37785,2017-01-28 00:00:00,01850,GOLD,6,2017-11-04 00:00:00
0000006064,MC66806,2018-10-01 00:00:00,00250,MEMBER,95,2019-08-10 00:00:00
0000006068,MC43457,2023-01-07 00:00:00,03720,GOLD,15,2023-06-06 00:00:00
0000006069,MC86036,2018-02-19 00:00:00,04786,SILVER,41,2018-12-01 00:00:00
0000006071,MC99973,2021-11-04 00:00:00,04268,GOLD,22,2022-05-21 00:00:00
0000006072,MC77726,2019-11-02 00:00:00,00218,SILVER,31,2020-10-14 00:00:00
0000006073,MC78367,2022-11-15 00:00:00,01398,SILVER,44,2023-10-27 00:00:00
0000006076,MC42538,2017-04-12 00:00:00,03367,GOLD,40,2017-09-03 00:00:00
0000006081,MC89147,2023-09-01 00:00:00,04846,MEMBER,23,2023-10-30 00:00:00
0000006082,MC27644,2019-02-01 00:00:00,03601,MEMBER,3,2019-12-24 00:00:00
0000006087,MC11362,2023-09-20 00:00:00,03970,GOLD,68,2023-11-21 00:00:00
0000006088,MC82906,2023-08-26 00:00:00,03286,MEMBER,10,2023-12-19 00:00:00
0000006089,MC61700,2019-07-31 00:00:00,02184,GOLD,55,2019-12-28 00:00:00
0000006090,MC34082,2021-05-10 00:00:00,04130,SILVER,60,2021-07-16 00:00:00
0000006092,MC29609,2018-10-27 00:00:00,00192,MEMBER,46,2019-01-31 00:00:00
0000006093,MC61247,2020-03-03 00:00:00,01744,SILVER,44,2020-09-22 00:00:00
0000006094,MC30989,2019-08-03 00:00:00,03337,SILVER,39,2020-04-04 00:00:00
0000006095,MC52442,2023-06-29 00:00:00,03926,MEMBER,62,2023-10-10 00:00:00
0000006097,MC17072,2022-02-05 00:00:00,01517,MEMBER,83,2022-08-11 00:00:00
0000006101,MC21497,2019-07-29 00:00:00,00599,SILVER,77,2020-05-09 00:00:00
0000006102,MC30540,2023-09-09 00:00:00,03089,MEMBER,71,2023-10-11 00:00:00
0000006103,MC95633,2021-02-09 00:00:00,02310,MEMBER,6,2021-06-19 00:00:00
0000006104,MC88315,2016-01-25 00:00:00,02513,MEMBER,43,2016-05-08 00:00:00
0000006105,MC49645,2019-12-13 00:00:00,02331,GOLD,40,2020-02-21 00:00:00
0000006107,MC80648,2016-11-08 00:00:00,00650,GOLD,92,2017-02-01 00:00:00
0000006109,MC44226,2019-01-14 00:00:00,00918,GOLD,83,2019-06-10 00:00:00
0000006112,MC64097,2015-08-21 00:00:00,03650,MEMBER,74,2016-03-10 00:00:00
0000006113,MC62537,2023-06-18 00:00:00,02192,MEMBER,98,2023-09-30 00:00:00
0000006114,MC81670,2017-02-03 00:00:00,02092,MEMBER,1,2017-04-28 00:00:00
0000006116,MC92666,2023-06-06 00:00:00,04865,MEMBER,39,2023-10-06 00:00:00
0000006117,MC88978,2015-01-20 00:00:00,04094,SILVER,17,2015-11-13 00:00:00
0000006118,MC35909,2015-09-04 00:00:00,00458,GOLD,26,2016-05-10 00:00:00
0000006119,MC15064,2018-10-01 00:00:00,01269,GOLD,22,2019-01-24 00:00:00
0000006120,MC27923,2018-04-12 00:00:00,04187,GOLD,90,2018-11-11 00:00:00
0000006121,MC34922,2022-01-03 00:00:00,02272,GOLD,23,2022-05-24 00:00:00
0000006123,MC78499,2022-08-09 00:00:00,00192,GOLD,7,2023-02-17 00:00:00
0000006126,MC75119,2023-03-30 00:00:00,03616,GOLD,79,2023-11-19 00:00:00
0000006127,MC64847,2019-05-15 00:00:00,02370,SILVER,19,2019-08-23 00:00:00
0000006128,MC89426,2019-03-22 00:00:00,00731,GOLD,59,2019-06-09 00:00:00
0000006129,MC48765,2023-02-06 00:00:00,02841,SILVER,2,2024-01-08 00:00:00
0000006130,MC80178,2018-06-20 00:00:00,02258,SILVER,41,2019-02-15 00:00:00
0000006131,MC20825,2023-11-05 00:00:00,01853,GOLD,7,2024-02-03 00:00:00
0000006133,MC39217,2020-11-15 00:00:00,00195,SILVER,88,2021-06-20 00:00:00
0000006134,MC26230,2018-04-19 00:00:00,03745,SILVER,13,2018-10-26 00:00:00
0000006139,MC45097,2017-07-25 00:00:00,04986,GOLD,99,2018-03-28 00:00:00
0000006141,MC46456,2019-09-07 00:00:00,03787,SILVER,38,2020-04-26 00:00:00
0000006143,MC39768,2015-04-23 00:00:00,04325,SILVER,31,2015-07-11 00:00:00
0000006148,MC69312,2021-08-04 00:00:00,02775,MEMBER,36,2022-03-15 00:00:00
0000006149,MC62235,2021-09-25 00:00:00,03270,GOLD,31,2022-03-02 00:00:00
0000006150,MC57170,2015-05-04 00:00:00,04675,SILVER,24,2016-05-02 00:00:00
0000006151,MC41146,2020-12-24 00:00:00,02385,SILVER,29,2021-08-04 00:00:00
0000006152,MC62627,2017-01-16 00:00:00,02990,SILVER,76,2017-06-12 00:00:00
0000006156,MC65454,2019-08-01 00:00:00,01640,SILVER,0,2020-04-14 00:00:00
0000006165,MC51339,2022-08-20 00:00:00,04007,SILVER,9,2023-02-14 00:00:00
0000006166,MC99425,2019-03-01 00:00:00,00017,SILVER,6,2019-05-25 00:00:00
0000006168,MC14920,2015-06-15 00:00:00,02161,MEMBER,78,2015-09-08 00:00:00
0000006171,MC75418,2016-12-12 00:00:00,03403,MEMBER,64,2017-08-09 00:00:00
0000006173,MC53067,2023-09-28 00:00:00,01467,SILVER,54,2024-04-14 00:00:00
0000006174,MC79994,2018-05-02 00:00:00,04919,SILVER,80,2018-06-03 00:00:00
0000006177,MC95502,2017-11-22 00:00:00,01372,SILVER,52,2018-11-06 00:00:00
0000006178,MC38679,2023-07-14 00:00:00,03658,GOLD,10,2024-04-24 00:00:00
0000006180,MC15307,2017-02-02 00:00:00,04363,GOLD,60,2017-12-22 00:00:00
0000006182,MC20025,2021-10-11 00:00:00,04257,MEMBER,6,2022-08-16 00:00:00
0000006183,MC79515,2020-10-31 00:00:00,04160,SILVER,64,2021-02-10 00:00:00
0000006184,MC90220,2020-02-19 00:00:00,02799,SILVER,57,2020-10-09 00:00:00
0000006185,MC71033,2018-04-29 00:00:00,01941,MEMBER,62,2018-06-24 00:00:00
0000006186,MC79659,2023-03-19 00:00:00,02586,SILVER,99,2023-10-26 00:00:00
0000006188,MC39736,2022-04-01 00:00:00,03556,GOLD,13,2022-09-27 00:00:00
0000006190,MC46465,2019-07-02 00:00:00,04616,SILVER,20,2019-12-09 00:00:00
0000006191,MC82853,2023-04-11 00:00:00,02048,GOLD,14,2024-02-09 00:00:00
0000006193,MC15290,2021-07-14 00:00:00,00462,SILVER,68,2021-08-13 00:00:00
0000006195,MC53830,2015-11-02 00:00:00,03546,MEMBER,97,2016-07-16 00:00:00
0000006196,MC34497,2018-03-17 00:00:00,00983,GOLD,75,2019-02-06 00:00:00
0000006197,MC67401,2019-03-13 00:00:00,04592,MEMBER,21,2019-10-14 00:00:00
0000006198,MC54303,2017-07-28 00:00:00,00931,SILVER,47,2017-09-01 00:00:00
0000006202,MC39291,2018-09-02 00:00:00,04393,GOLD,79,2018-11-28 00:00:00
0000006206,MC98383,2023-06-26 00:00:00,04498,MEMBER,40,2024-03-04 00:00:00
0000006208,MC27425,2022-09-25 00:00:00,01222,SILVER,87,2023-02-20 00:00:00
0000006211,MC14142,2015-06-30 00:00:00,00064,SILVER,78,2015-10-20 00:00:00
0000006216,MC64306,2017-01-23 00:00:00,04174,GOLD,90,2017-09-02 00:00:00
0000006218,MC17738,2017-03-29 00:00:00,01780,GOLD,63,2017-06-10 00:00:00
0000006220,MC25952,2021-11-08 00:00:00,00964,MEMBER,82,2022-02-14 00:00:00
0000006224,MC88013,2020-02-05 00:00:00,00660,GOLD,9,2020-09-13 00:00:00
0000006225,MC72047,2023-04-30 00:00:00,03903,GOLD,10,2024-02-14 00:00:00
0000006226,MC91073,2020-05-18 00:00:00,03123,GOLD,34,2020-10-12 00:00:00
0000006227,MC48818,2020-06-14 00:00:00,02890,MEMBER,98,2021-06-14 00:00:00
0000006228,MC71310,2016-01-25 00:00:00,02583,SILVER,29,2016-05-26 00:00:00
0000006230,MC82989,2019-05-12 00:00:00,04613,SILVER,33,2019-08-05 00:00:00
0000006231,MC20519,2020-04-01 00:00:00,04670,GOLD,17,2020-05-16 00:00:00
0000006232,MC85216,2020-02-16 00:00:00,03437,MEMBER,3,2020-04-28 00:00:00
0000006233,MC79872,2021-05-07 00:00:00,02254,MEMBER,90,2022-04-21 00:00:00
0000006235,MC22469,2023-09-08 00:00:00,01674,MEMBER,93,2024-09-04 00:00:00
0000006237,MC14392,2023-06-05 00:00:00,01821,SILVER,6,2023-12-16 00:00:00
0000006239,MC36018,2020-05-28 00:00:00,01795,SILVER,5,2021-04-22 00:00:00
0000006242,MC67845,2019-08-30 00:00:00,00073,GOLD,87,2019-11-02 00:00:00
0000006243,MC53625,2018-08-01 00:00:00,03493,GOLD,1,2019-07-16 00:00:00
0000006244,MC14845,2023-02-15 00:00:00,04869,MEMBER,82,2023-04-07 00:00:00
0000006245,MC61294,2016-10-06 00:00:00,01217,GOLD,11,2016-12-04 00:00:00
0000006247,MC41312,2015-05-23 00:00:00,03767,GOLD,94,2015-07-21 00:00:00
0000006248,MC70098,2016-01-17 00:00:00,04505,GOLD,30,2016-09-29 00:00:00
0000006249,MC82805,2019-08-16 00:00:00,04463,SILVER,90,2020-04-17 00:00:00
0000006253,MC21709,2018-10-09 00:00:00,02407,GOLD,30,2019-01-02 00:00:00
0000006255,MC14816,2015-03-31 00:00:00,01640,SILVER,46,2015-09-23 00:00:00
0000006256,MC78501,2018-12-02 00:00:00,02268,MEMBER,47,2019-10-01 00:00:00
0000006259,MC86694,2020-01-29 00:00:00,01045,SILVER,9,2020-04-06 00:00:00
0000006261,MC17010,2016-03-01 00:00:00,00652,SILVER,63,2016-04-07 00:00:00
0000006264,MC53488,2019-06-15 00:00:00,02221,GOLD,11,2019-12-16 00:00:00
0000006265,MC97025,2018-12-15 00:00:00,02798,SILVER,61,2019-07-10 00:00:00
0000006266,MC94048,2015-10-20 00:00:00,04128,SILVER,51,2016-02-09 00:00:00
0000006268,MC70591,2020-05-17 00:00:00,03168,MEMBER,43,2021-04-01 00:00:00
0000006272,MC57347,2017-04-22 00:00:00,00839,GOLD,46,2017-10-18 00:00:00
0000006273,MC20412,2018-10-09 00:00:00,03534,MEMBER,45,2019-07-12 00:00:00
0000006274,MC27781,2015-11-30 00:00:00,03277,SILVER,38,2016-01-02 00:00:00
0000006275,MC92796,2019-10-16 00:00:00,00952,SILVER,68,2020-06-02 00:00:00
0000006280,MC23929,2018-12-11 00:00:00,03452,GOLD,100,2019-05-20 00:00:00
0000006281,MC82271,2021-05-03 00:00:00,02056,MEMBER,1,2022-04-08 00:00:00
0000006283,MC30592,2021-12-08 00:00:00,04935,SILVER,95,2022-06-06 00:00:00
0000006284,MC50814,2017-05-17 00:00:00,03667,MEMBER,12,2017-09-14 00:00:00
0000006290,MC66949,2018-04-07 00:00:00,03091,SILVER,0,2018-12-19 00:00:00
0000006292,MC54600,2018-01-17 00:00:00,03236,SILVER,16,2018-06-09 00:00:00
0000006293,MC11805,2018-10-20 00:00:00,04321,MEMBER,68,2019-05-31 00:00:00
0000006295,MC25312,2015-12-02 00:00:00,02066,GOLD,39,2016-06-06 00:00:00
0000006296,MC84504,2018-10-10 00:00:00,03099,SILVER,37,2019-04-25 00:00:00
0000006299,MC14683,2022-05-25 00:00:00,04033,SILVER,96,2022-08-30 00:00:00
0000006301,MC65722,2019-09-27 00:00:00,00417,SILVER,10,2020-03-02 00:00:00
0000006304,MC74048,2019-05-17 00:00:00,03199,GOLD,23,2019-11-08 00:00:00
0000006305,MC38630,2019-06-25 00:00:00,03728,SILVER,13,2019-08-19 00:00:00
0000006306,MC63341,2018-10-26 00:00:00,04092,SILVER,31,2019-04-08 00:00:00
0000006308,MC24912,2019-11-26 00:00:00,01022,MEMBER,69,2020-06-30 00:00:00
0000006310,MC15140,2018-02-10 00:00:00,02602,MEMBER,16,2018-07-21 00:00:00
0000006311,MC18210,2016-01-31 00:00:00,00541,MEMBER,49,2016-10-02 00:00:00
0000006312,MC83492,2015-04-25 00:00:00,04164,SILVER,56,2016-01-22 00:00:00
0000006316,MC30717,2016-02-20 00:00:00,01099,SILVER,26,2016-11-16 00:00:00
0000006317,MC22026,2015-09-09 00:00:00,02091,SILVER,90,2016-07-03 00:00:00
0000006318,MC47220,2023-04-30 00:00:00,00046,MEMBER,31,2023-12-03 00:00:00
0000006319,MC18741,2021-03-02 00:00:00,00907,GOLD,39,2021-12-22 00:00:00
0000006321,MC46323,2015-08-07 00:00:00,00067,SILVER,36,2015-09-19 00:00:00
0000006323,MC83816,2017-08-10 00:00:00,04372,GOLD,51,2017-10-05 00:00:00
0000006324,MC66333,2021-06-16 00:00:00,03780,MEMBER,61,2021-08-23 00:00:00
0000006325,MC94497,2023-02-20 00:00:00,03652,MEMBER,89,2023-04-04 00:00:00
0000006326,MC86822,2016-08-07 00:00:00,01794,MEMBER,41,2017-07-15 00:00:00
0000006328,MC65374,2015-11-10 00:00:00,04178,SILVER,87,2016-08-27 00:00:00
0000006332,MC90566,2020-03-16 00:00:00,00537,MEMBER,17,2020-08-13 00:00:00
0000006339,MC77651,2022-04-10 00:00:00,04703,MEMBER,26,2022-08-18 00:00:00
0000006340,MC40738,2015-04-02 00:00:00,00998,MEMBER,35,2015-07-12 00:00:00
0000006342,MC60906,2023-11-14 00:00:00,00075,GOLD,95,2024-04-30 00:00:00
0000006343,MC24802,2017-08-11 00:00:00,03513,SILVER,45,2018-01-19 00:00:00
0000006345,MC51495,2021-11-04 00:00:00,01646,GOLD,72,2022-05-18 00:00:00
0000006346,MC30414,2018-01-13 00:00:00,01974,SILVER,18,2018-02-24 00:00:00
0000006347,MC38136,2022-11-18 00:00:00,04402,MEMBER,9,2023-06-28 00:00:00
0000006351,MC74253,2017-06-09 00:00:00,01993,GOLD,15,2017-08-04 00:00:00
0000006352,MC12153,2016-11-15 00:00:00,04885,MEMBER,64,2017-02-14 00:00:00
0000006355,MC94534,2023-02-09 00:00:00,02701,SILVER,25,2023-07-03 00:00:00
0000006356,MC11530,2022-12-04 00:00:00,02237,GOLD,30,2023-10-12 00:00:00
0000006357,MC56831,2015-02-27 00:00:00,01246,MEMBER,79,2015-11-11 00:00:00
0000006359,MC32740,2021-05-29 00:00:00,00520,SILVER,45,2022-01-04 00:00:00
0000006360,MC34317,2019-02-08 00:00:00,04163,GOLD,62,2019-11-05 00:00:00
0000006364,MC20744,2020-09-14 00:00:00,04790,MEMBER,58,2021-06-03 00:00:00
0000006369,MC41895,2015-08-20 00:00:00,02745,GOLD,42,2016-07-12 00:00:00
0000006371,MC57609,2023-04-01 00:00:00,02098,GOLD,11,2023-08-12 00:00:00
0000006372,MC23018,2022-10-06 00:00:00,00798,SILVER,36,2023-09-16 00:00:00
0000006375,MC95701,2016-03-23 00:00:00,00462,SILVER,65,2016-10-09 00:00:00
0000006377,MC19800,2016-05-08 00:00:00,04301,SILVER,46,2016-12-29 00:00:00
0000006378,MC13734,2019-07-23 00:00:00,01728,GOLD,90,2020-04-13 00:00:00
0000006379,MC96944,2019-10-28 00:00:00,04193,GOLD,18,2020-05-11 00:00:00
0000006381,MC79688,2017-01-12 00:00:00,04707,MEMBER,8,2017-05-03 00:00:00
0000006383,MC37156,2019-02-12 00:00:00,00195,MEMBER,69,2019-06-09 00:00:00
0000006385,MC17666,2022-03-16 00:00:00,02918,SILVER,36,2023-01-29 00:00:00
0000006389,MC80341,2019-03-12 00:00:00,01871,MEMBER,29,2019-12-06 00:00:00
0000006392,MC98320,2015-08-24 00:00:00,03714,SILVER,81,2015-12-31 00:00:00
0000006393,MC53390,2016-09-19 00:00:00,04393,GOLD,23,2017-02-10 00:00:00
0000006394,MC58791,2022-10-20 00:00:00,03296,MEMBER,21,2023-09-04 00:00:00
0000006395,MC95766,2022-07-07 00:00:00,02771,MEMBER,34,2022-10-04 00:00:00
0000006396,MC20474,2023-04-26 00:00:00,01295,MEMBER,4,2023-09-29 00:00:00
